Open,High,Low,Close,Adj Close,Volume,MA_1,MA_2,MA_3,MA_4,MA_5,RSI1,RSI1MAL,RSI1MAH,RSI2,RSI2MAL,RSI2MAH,RSI3,RSI3MAL,RSI3MAH,Compare_Close,CRS,CRSMAL,CRSMAH,Sto_main,Sto_signal,MACD,MACD_signal
213.3899994,216.2400055,212.5399933,214.7200012,214.4924164,21026400,199.2944992,182.4261987,,,,71.95289913,68.13854703,67.16971106,71.95289913,68.13854703,67.16971106,71.95289913,68.13854703,67.16971106,408.6700134,0.525411687,0.454515861,,96.84065114,97.52399025,9.652155003,9.340940657
214.1499939,215.1900024,209.9400024,211.4799957,211.2558441,19396600,200.6199989,183.7929987,,,,66.99951014,67.95992057,67.46133656,66.99951014,67.95992057,67.46133656,66.99951014,67.95992057,67.46133656,407.6000061,0.518841984,0.457739278,,90.11934632,95.26402207,9.409013445,9.354555214
209.25,216.9400024,208.6499939,216.1000061,215.8709564,26104400,202.3404991,185.2849988,,,,70.15461114,68.01951138,67.83706848,70.15461114,68.01951138,67.83706848,70.15461114,68.01951138,67.83706848,409.1900024,0.528116535,0.461232794,,89.53573358,92.16524368,9.479840535,9.379612278
214.7100067,215.6600037,210.6600037,214.75,214.5223846,16106100,204.1024994,186.6339987,,,,68.10555947,68.31370495,67.79553037,68.10555947,68.31370495,67.79553037,68.10555947,68.31370495,67.79553037,409.6099854,0.524279211,0.464439811,,87.94359102,89.19955697,9.319606679,9.367611158
215.4799957,216.0200043,213.4100037,213.8500061,213.6233521,16710100,205.75,187.8761987,,,,66.70676129,68.75802453,67.71866084,66.70676129,68.75802453,67.71866084,66.70676129,68.75802453,67.71866084,409.7200012,0.521941827,0.467397874,,89.55459746,89.01130735,9.016066604,9.297302247
214.8399963,216.8399963,212.5800018,214,213.7731781,18972200,206.7489998,189.2149988,,,,66.82903955,68.84673725,67.67102433,66.82903955,68.84673725,67.67102433,66.82903955,68.84673725,67.67102433,408.0499878,0.524445549,0.470544615,,85.60924802,87.70247883,8.687468433,9.175335485
215.7299957,221.1499939,215.6900024,220.3500061,220.1164551,23310400,207.8790001,190.6425989,,,,71.58676263,69.28038165,67.79944888,71.58676263,69.28038165,67.79944888,71.58676263,69.28038165,67.79944888,413.4700012,0.532928642,0.47387343,,88.29634828,87.82006459,8.837570428,9.107782473
217.8800049,222.1100006,217.5500031,221.4900055,221.255249,21591200,208.7070007,192.0099991,,,,72.35341377,69.51393124,68.17403007,72.35341377,69.51393124,68.17403007,72.35341377,69.51393124,68.17403007,412.4599915,0.536997551,0.477158659,,92.85236852,88.91932161,8.945398775,9.075305734
219.7899933,220.9799957,217.1300049,218.8600006,218.6280365,15481900,209.8695007,192.611799,,,,67.80779207,69.16626102,68.50128901,67.80779207,69.16626102,68.50128901,67.80779207,69.16626102,68.50128901,413.9400024,0.528723968,0.478674642,,93.52469559,91.55780413,8.718136848,9.003871957
219.9100037,220.4400024,216.2100067,217.8899994,217.6590576,12281000,210.8735008,193.238999,,,,66.15693287,68.52226477,68.7054089,66.15693287,68.52226477,68.7054089,66.15693287,68.52226477,68.7054089,414.2099915,0.526037527,0.480148224,,87.48375951,91.28694121,8.363351631,8.875767891
213.4700012,217.3300018,212.9299927,215.6999969,215.4713745,15898100,211.5505005,193.831799,,,,62.45961544,68.01783203,68.34974406,62.45961544,68.01783203,68.34974406,62.45961544,68.01783203,68.34974406,414.1400146,0.520838338,0.481485128,,77.26083323,86.08976278,7.815376104,8.663689534
213.4799957,216.75,212.7700043,213.0700073,212.8441772,16475400,212.213501,194.2607993,,,,58.2494666,66.69503819,67.73985518,58.2494666,66.69503819,67.73985518,58.2494666,66.69503819,67.73985518,411.8800049,0.517310879,0.482600873,,62.09194364,75.61217879,7.087186692,8.348388966
